image,quality,Contraste,Entropia,Laplace_media
image_0009.jpg,4,47.1979436132795,7.37899417544526,2.83944865370492
image_0023.jpg,2,51.6737171033286,7.31543272708983,0.596229367232239
image_0032.jpg,4,48.1004318562818,6.52013611832667,1.16106385105887
image_0038.jpg,2,37.7917980607047,7.24886791298182,0.428950087829206
image_0040.jpg,2,45.6103902231497,6.68409618101644,0.424699822678673
image_0048.jpg,4,52.5414017878394,6.91455569576172,1.29414590802271
image_0065.jpg,1,5.72444580028365,4.25845498482114,0.0982118636156461
image_0067.jpg,2,43.0853274849477,7.00800811453179,0.433519671346535
image_0068.jpg,3,76.8178932099278,7.20242772215563,233.837445846235
image_0069.jpg,4,40.0423201088083,6.71330497772681,1.33155338898802
image_0078.jpg,4,49.9702792810287,6.67464405837004,1.21409902637518
image_0086.jpg,4,43.4538182905798,6.63463065598137,1.33405136920878
image_0094.jpg,4,54.3368532775965,7.00741121780431,1.12405635464466
image_0098.jpg,4,48.2871661676679,7.11243624689246,1.25440071452255
image_0099.jpg,1,10.5488742774779,5.58924884159482,0.524738992908605
image_0100.jpg,3,75.0172904364869,6.81485132137822,221.798396882297
image_0101.jpg,2,39.8102089503902,7.02578034745131,0.469554617410088
image_0116.jpg,2,38.8962075934791,6.98192298478904,0.44103180239899
image_0128.jpg,4,42.6586176148777,7.46434312467709,2.85442729309303
image_0131.jpg,1,9.37584986519055,5.18379334153799,0.249519140625
image_0132.jpg,1,7.238393053228,5.0222683268159,0.289384644869366
image_0140.jpg,2,38.2317948948391,7.23002038036766,0.426279548282884
image_0142.jpg,4,38.8672698440443,7.20343649833441,3.01459652590428
image_0147.jpg,3,80.6312677189413,7.06372036596846,236.74930016982
image_0163.jpg,1,15.0028423077128,5.98401356883892,0.758162087341358
image_0175.jpg,4,43.1038887515578,6.46423942483442,1.22617378626382
image_0176.jpg,4,36.5530450928669,6.65532737521917,1.33707476939438
image_0190.jpg,2,45.1653777597998,7.09100351553874,0.440093901201039
image_0202.jpg,1,7.48812952032933,4.86397660059673,0.135007146686706
